"PortName";"Time";"DeltaTime";"Hex";"ASCII";"Message"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 07 00 00 06";"Uª.....";"Wi-Fi Func Test Cmd"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 07 00 02 01 50 59";"Uª.....PY";"Wi-Fi Func Test sucessful Signal=80"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0A 00 00 09";"Uª.....";"Wi-Fi Firmware Upgrade Cmd"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0A 00 01 00 0A";"Uª......";"Wi-Fi Firmware Upgrade Result=(Start to detect firmware upgrading) Do not power off"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0A 00 01 01 0B";"Uª......";"Wi-Fi Firmware Upgrade Result=(No firmware to upgrade) Power off"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0C 00 00 0B";"Uª.....";"MCU Upgrading Status Cmd"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0C 00 01 00 0C";"Uª......";"MCU Upgrading Status Result=(Start to detect firmware upgrading) Do not power off"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0C 00 01 01 0D";"Uª......";"MCU Upgrading Status Result=(No firmware to upgrade) Power off"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0D 00 04 00 00 68 00 78";"Uª......h.x";"Number Firmware Bytes=26624"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0D 00 00 0C";"Uª.....";"Number Firmware Bytes ACK"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0E 00 08 00 11 22 33 01 02 03 04 85";"Uª......"3.....";"Packet Transfer Offset=0x00112233 Data=01 02 03 04"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0E 00 04 00 00 02 12 25";"Uª........%";"Packet Transfer Offset=0x00000212"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0E 00 00 0D";"Uª.....";"Packet Transfer ACK"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0B 00 00 0A";"Uª.....";"Query Signal Strength Cmd"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 0B 00 02 01 50 5D";"Uª.....P]";"Query Signal Strength Success Signal=80"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 10 00 04 03 73 72 71 6C";"Uª.....srql";"Obtain DP Cache DPs= 115,114,113"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 10 00 14 01 03 73 01 00 01 01 72 04 00 01 01 71 02 00 04 00 00 00 1E AA";"Uª......s....r....q.......ª";"Obtain DP Cache DP=115 Bool=True DP=114 Enum=1 DP=113 Value=30"
"";"";"";"";"";""
